id,title,year,n_faces,face_area,max_conf,face_boxes,error
340758,Never Mention Murder,1965,5,0.0404,0.876,"0.6063,0.1634,0.1114,0.1024|0.3981,0.0873,0.101,0.0906|0.8366,0.2451,0.0895,0.0894|0.261,0.0825,0.0824,0.0786|0.8844,0.4673,0.0733,0.0726",
361975,The Hoop of Bermuda,1988,1,0.0291,0.906,"0.4045,0.3844,0.1806,0.1611",
382290,M・Y・F・A・C・E,2005,0,0.0,0.0,,
440871,Ghost Valley Raiders,1940,3,0.0262,0.901,"0.5392,0.3149,0.1138,0.1035|0.8104,0.3453,0.1067,0.1013|0.4175,0.3094,0.0664,0.0553",
444713,Commando 2 - The Black Money Trail,2017,1,0.0079,0.922,"0.4512,0.2339,0.0959,0.0827",
453424,Dr. Masher,1969,2,0.0516,0.88,"0.3845,0.8342,0.2165,0.1622|0.6947,0.8719,0.1348,0.1225",
459420,The Four Just Men,1921,2,0.0033,0.787,"0.889,0.5297,0.0436,0.0379|0.5017,0.4567,0.0446,0.0363",
482337,Benaam,1999,6,0.2237,0.928,"0.4712,0.0955,0.4507,0.3541|0.7472,0.5638,0.1234,0.1195|0.8619,0.5512,0.1279,0.1087|0.6422,0.558,0.1142,0.1088|0.5392,0.5555,0.1157,0.1073|0.1039,0.1722,0.111,0.0963",
483586,Rites of Blood,2004,2,0.0179,0.903,"0.7182,0.1862,0.1216,0.0895|0.2882,0.237,0.0907,0.0771",
510733,The Ghost Breaker,1922,3,0.0302,0.856,"0.2506,0.6002,0.1163,0.1031|0.7574,0.6551,0.1097,0.0909|0.4402,0.5911,0.0913,0.0898",
517574,Doombeach,1989,0,0.0,0.0,,
535249,Our Correspondent,1959,2,0.0583,0.909,"0.3799,0.0448,0.1942,0.1647|0.5696,0.2359,0.172,0.1528",
539980,Maigret at the Minister,1987,2,0.1472,0.926,"0.1334,0.516,0.298,0.2505|0.5426,0.4098,0.2851,0.2543",
547231,Pizza Hunt,2003,0,0.0,0.0,,
548084,The Perfect Murder,1992,1,0.7331,0.882,"0.1388,0.0614,0.8554,0.857",
630737,2099: The Soldier Protocol,2019,1,0.068,0.887,"0.3691,0.1335,0.2743,0.2481",
633786,Faulty Father,2019,1,0.0895,0.918,"0.3965,0.5028,0.2969,0.3015",
651517,Riverdead,2007,0,0.0,0.0,,
668985,Who Killed Eve?,1934,1,0.0052,0.761,"0.8094,0.117,0.0804,0.065",
747083,Noite de Lamentações (Night of Wails),2020,0,0.0,0.0,,
752825,The Demon,1970,0,0.0,0.0,,
752851,Case of a Young Lord 7: Red Crane House,1958,3,0.0737,0.924,"0.6218,0.3762,0.2411,0.2111|0.3341,0.8171,0.118,0.0994|0.072,0.8277,0.1173,0.0942",
781001,That,2012,0,0.0,0.0,,
789473,The Mysterious Mr. Hyde,1964,1,0.008,0.874,"0.4067,0.7208,0.0983,0.0817",
795813,I'm Your Man,2021,1,0.0358,0.736,"0.57,0.4803,0.2082,0.1718",
872243,Darkman,1992,1,0.0133,0.771,"0.4397,0.6009,0.1283,0.1033",
921652,Body of Ashes,2022,1,0.1002,0.939,"0.3259,0.1497,0.3218,0.3112",
929912,Droga Digitale,2022,1,0.112,0.921,"0.3243,0.0703,0.3498,0.3203",
938049,Donor,2021,0,0.0,0.0,,
990167,Dead Pigeon on Beethoven Street,1972,3,0.0266,0.878,"0.689,0.3737,0.1186,0.0951|0.1479,0.3582,0.095,0.0829|0.4712,0.364,0.097,0.0764",
1013699,The Shining Pyramid,1979,0,0.0,0.0,,
1068455,All That You Love Will Be Carried Away,2019,0,0.0,0.0,,
1075682,Three Silhouettes in Black,1985,0,0.0,0.0,,
1114351,Actual Record! Real Horror Posted Video 31,2016,0,0.0,0.0,,
1156131,두번째 상봉,1967,2,0.0399,0.871,"0.6247,0.5111,0.1522,0.1462|0.3023,0.5319,0.142,0.1241",
1225036,Ha Khel Savlyancha,1976,2,0.3091,0.889,"0.3625,0.5112,0.477,0.355|-0.0031,0.3407,0.3503,0.3989",
1487521,Conserva,2025,0,0.0,0.0,,
1494221,Sticks and Stones: Investigating the Blair Witch,1999,0,0.0,0.0,,
1577810,Pandora's Box,2025,1,0.0557,0.903,"0.464,0.4781,0.2582,0.2158",
1615804,The Big Scoop: Challenge at Twilight,1959,1,0.0455,0.869,"0.4955,0.2693,0.2373,0.1918",
1634691,Little Signs,2026,0,0.0,0.0,,
1638974,Fools in the Dark,1924,2,0.0416,0.917,"0.5189,0.5214,0.1518,0.1425|0.6663,0.5608,0.1487,0.1342",
1700685,This is Not an Exit,2025,0,0.0,0.0,,
