id,title,year,mean_depth,p95_depth,depth_std,close_area_frac,error
267338,"Love, Honor and Oh-Baby!",1940,0.5818,0.8596,0.2626,0.4657,
280002,The Remaining,2014,0.2881,0.7756,0.2781,0.0981,
294307,The Last Hit,1993,0.5215,0.8515,0.2105,0.1858,
299460,The Mother  Tree,1958,0.468,0.8873,0.2579,0.2541,
324153,The Shadow Laughs,1933,0.3305,0.6934,0.2011,0.0475,
324621,The Return,1980,0.4333,0.8516,0.2493,0.2036,
325622,The Hound of the Baskervilles,1921,0.5263,0.9279,0.3332,0.4274,
340758,Never Mention Murder,1965,0.5505,0.866,0.2369,0.289,
361975,The Hoop of Bermuda,1988,0.6489,0.9358,0.2321,0.4726,
382290,M・Y・F・A・C・E,2005,0.5726,0.9726,0.3218,0.47,
440871,Ghost Valley Raiders,1940,0.426,0.797,0.2456,0.1461,
444713,Commando 2 - The Black Money Trail,2017,0.4339,0.8759,0.2914,0.2742,
453424,Dr. Masher,1969,0.5609,0.887,0.2999,0.469,
459420,The Four Just Men,1921,0.4066,0.8873,0.3008,0.2591,
482337,Benaam,1999,0.4965,0.8559,0.2184,0.2025,
483586,Rites of Blood,2004,0.4707,0.8972,0.2902,0.2504,
510733,The Ghost Breaker,1922,0.5734,0.8539,0.1949,0.3457,
517574,Doombeach,1989,0.4059,0.9215,0.2882,0.1905,
535249,Our Correspondent,1959,0.4274,0.9043,0.2661,0.1714,
539980,Maigret at the Minister,1987,0.4932,0.94,0.3857,0.5384,
547231,Pizza Hunt,2003,0.3074,0.8577,0.2712,0.1444,
548084,The Perfect Murder,1992,0.4286,0.8488,0.3035,0.307,
630737,2099: The Soldier Protocol,2019,0.6966,0.9277,0.2502,0.6247,
633786,Faulty Father,2019,0.3453,0.9326,0.3583,0.2987,
651517,Riverdead,2007,0.4206,0.7556,0.2256,0.1117,
668985,Who Killed Eve?,1934,0.2846,0.6804,0.2071,0.0431,
747083,Noite de Lamentações (Night of Wails),2020,0.5337,0.9209,0.2694,0.3375,
752825,The Demon,1970,0.297,0.8354,0.2609,0.1399,
752851,Case of a Young Lord 7: Red Crane House,1958,0.5775,0.9288,0.2573,0.3771,
781001,That,2012,0.5369,0.8621,0.2803,0.2958,
789473,The Mysterious Mr. Hyde,1964,0.4518,0.928,0.3576,0.4258,
795813,I'm Your Man,2021,0.2882,0.8036,0.2858,0.1253,
872243,Darkman,1992,0.2467,0.9603,0.3256,0.163,
921652,Body of Ashes,2022,0.6429,0.9482,0.3103,0.6029,
929912,Droga Digitale,2022,0.694,0.9863,0.3749,0.7024,
938049,Donor,2021,0.3125,0.7173,0.1986,0.0559,
990167,Dead Pigeon on Beethoven Street,1972,0.4111,0.8825,0.2995,0.2802,
1013699,The Shining Pyramid,1979,0.4541,0.8769,0.2505,0.2193,
1068455,All That You Love Will Be Carried Away,2019,0.4282,0.9579,0.312,0.2788,
1075682,Three Silhouettes in Black,1985,0.3843,0.8911,0.3151,0.2848,
1114351,Actual Record! Real Horror Posted Video 31,2016,0.3649,0.7868,0.2343,0.1426,
1156131,두번째 상봉,1967,0.4946,0.8339,0.1979,0.1903,
1225036,Ha Khel Savlyancha,1976,0.504,0.8594,0.3041,0.4175,
1487521,Conserva,2025,0.5329,0.9524,0.299,0.335,
1494221,Sticks and Stones: Investigating the Blair Witch,1999,0.3686,0.8271,0.264,0.1492,
1577810,Pandora's Box,2025,0.3671,0.8736,0.3544,0.3479,
1615804,The Big Scoop: Challenge at Twilight,1959,0.3862,0.8465,0.3072,0.1445,
1634691,Little Signs,2026,0.2815,0.8447,0.305,0.1699,
1638974,Fools in the Dark,1924,0.4088,0.8975,0.3562,0.3366,
1700685,This is Not an Exit,2025,0.4675,0.907,0.2873,0.2804,
