id,title,year,n_persons,kpt_bbox_area_frac,limb_asymmetry,mean_kpt_confidence,box,keypoints,error
29297,Destination Inner Space,1966,5,0.1092,,0.219,"[169.6, 306.5, 424.9, 455.9]","[[313.4, 366.4, 0.149], [319.6, 356.7, 0.135], [304.7, 359.7, 0.219], [345.2, 228.9, 0.133], [278.7, 184.2, 0.182], [325.3, 296.7, 0.175], [236.6, 270.1, 0.067], [308.6, 346.7, 0.201], [183.1, 410.8, 0.331], [314.0, 386.6, 0.122], [225.1, 414.1, 0.43], [308.4, 430.4, 0.334], [253.9, 443.0, 0.235], [396.4, 417.7, 0.4], [463.1, 510.1, 0.191], [319.9, 439.6, 0.15], [309.2, 450.4, 0.262]]",
31948,Gray Lady Down,1978,0,,,,,,
32849,Abandoned,1949,3,0.4921,0.0239,0.541,"[254.8, 0.7, 498.8, 357.3]","[[359.1, 75.1, 0.787], [373.7, 60.1, 0.861], [341.2, 63.9, 0.866], [398.3, 69.0, 0.891], [323.3, 84.5, 0.874], [423.0, 152.6, 0.583], [299.0, 158.1, 0.502], [478.8, 240.8, 0.481], [294.3, 270.6, 0.259], [468.5, 193.4, 0.702], [466.6, 193.6, 0.425], [448.6, 268.2, 0.321], [350.1, 296.4, 0.319], [466.0, 298.2, 0.446], [466.3, 293.7, 0.27], [399.9, 294.7, 0.29], [381.1, 298.0, 0.32]]",
33546,The Time of Their Lives,1946,2,0.6956,0.0593,0.662,"[178.2, 258.6, 500.0, 743.3]","[[364.9, 337.5, 0.981], [367.4, 317.0, 1.014], [332.0, 326.2, 0.992], [382.8, 333.9, 0.766], [286.7, 361.2, 0.992], [455.1, 432.5, 0.87], [247.2, 467.9, 0.888], [507.7, 518.4, 0.663], [293.8, 594.3, 0.887], [391.6, 550.1, 0.901], [442.5, 581.2, 0.664], [463.7, 721.0, 0.814], [319.8, 733.4, 0.659], [463.4, 489.5, 0.07], [347.9, 956.0, 0.01], [455.2, 653.4, 0.013], [442.0, 600.8, 0.063]]",
34734,Stir of Echoes: The Homecoming,2007,0,,,,,,
36778,Spellbinder,1988,2,0.6912,0.0528,0.451,"[8.0, 2.9, 499.6, 725.9]","[[235.9, 230.1, 0.967], [292.6, 169.5, 1.0], [195.6, 171.1, 0.973], [384.8, 177.9, 0.792], [153.5, 189.3, 0.816], [475.7, 460.0, 0.605], [99.1, 482.3, 0.698], [490.7, 727.0, 0.268], [42.9, 737.2, 0.494], [405.3, 570.7, 0.349], [270.1, 592.1, 0.395], [418.3, 826.6, 0.037], [172.0, 826.8, 0.065], [397.4, 462.2, 0.048], [64.5, 517.4, 0.034], [311.2, 558.6, 0.049], [275.5, 562.0, 0.08]]",
38456,Charlie Chan's Murder Cruise,1940,3,0.2584,,0.419,"[1.5, 0.0, 499.4, 748.0]","[[465.4, 261.0, 0.971], [496.2, 197.6, 0.936], [390.1, 204.1, 0.975], [513.4, 198.2, 0.419], [296.5, 245.4, 0.915], [497.8, 428.4, 0.221], [194.3, 487.0, 0.308], [493.4, 467.7, 0.458], [18.2, 447.5, 0.279], [348.9, 499.3, 0.759], [366.0, 498.2, 0.283], [248.7, 734.0, 0.054], [209.2, 735.0, 0.1], [143.5, 645.7, 0.091], [184.3, 649.7, 0.093], [324.8, 489.5, 0.197], [46.9, 680.7, 0.059]]",
40091,Sex Madness,1938,0,,,,,,
40252,Witchboard III: The Possession,1997,1,0.7622,0.0067,0.538,"[0.0, 0.8, 498.6, 750.0]","[[244.6, 189.0, 0.927], [283.3, 133.2, 0.985], [202.3, 144.1, 0.937], [339.8, 106.6, 0.955], [154.4, 128.3, 0.819], [434.3, 328.5, 0.736], [53.0, 324.0, 0.744], [481.6, 550.0, 0.504], [14.4, 548.6, 0.496], [460.5, 720.5, 0.214], [25.1, 720.1, 0.289], [347.9, 716.0, 0.704], [144.4, 713.0, 0.672], [379.7, 720.9, 0.016], [152.1, 761.7, 0.014], [468.1, 551.3, 0.063], [90.5, 700.2, 0.072]]",
44169,The Falcon in Danger,1943,2,0.6769,0.0796,0.462,"[233.9, 369.9, 500.0, 749.5]","[[389.3, 475.8, 0.981], [414.3, 454.7, 0.981], [372.4, 459.2, 0.974], [473.6, 480.0, 0.982], [358.3, 486.4, 0.888], [508.5, 625.7, 0.782], [294.6, 617.5, 0.852], [506.2, 726.8, 0.276], [275.7, 748.4, 0.761], [493.7, 530.5, 0.163], [406.3, 734.9, 0.013], [519.0, 967.4, 0.013], [384.0, 977.5, 0.018], [534.9, 1055.0, 0.027], [298.6, 621.1, 0.085], [452.4, 702.8, 0.02], [422.7, 1220.1, 0.034]]",
47062,Miraculous Virgin,1967,1,0.6309,0.1187,0.374,"[4.3, 196.4, 484.9, 740.5]","[[267.7, 468.5, 0.808], [334.5, 362.1, 0.961], [160.4, 351.0, 0.985], [395.7, 391.9, 0.594], [33.4, 391.1, 0.745], [441.6, 648.8, 0.407], [16.5, 666.3, 0.437], [448.7, 599.0, 0.282], [478.3, 647.4, 0.022], [452.2, 729.6, 0.471], [391.9, 738.4, 0.108], [344.4, 709.2, 0.086], [130.7, 702.7, 0.037], [452.3, 640.1, 0.146], [448.9, 638.5, 0.072], [421.5, 717.5, 0.115], [392.3, 707.4, 0.075]]",
47286,Cool Air,1999,1,0.6532,0.0733,0.722,"[17.3, 241.9, 244.3, 541.7]","[[115.4, 326.1, 0.995], [126.5, 313.5, 0.984], [106.7, 309.2, 0.961], [132.7, 314.7, 0.841], [73.9, 299.9, 0.96], [122.0, 379.3, 0.924], [20.7, 370.3, 0.939], [155.9, 460.9, 0.971], [25.1, 491.2, 0.885], [199.5, 469.6, 0.809], [129.1, 507.1, 0.918], [119.4, 539.1, 0.67], [45.7, 548.5, 0.616], [235.6, 569.5, 0.234], [162.3, 529.8, 0.133], [131.5, 573.7, 0.175], [166.6, 568.1, 0.261]]",
51565,The Dragon Murder Case,1934,2,0.5109,,0.368,"[0.0, 0.0, 500.0, 749.7]","[[286.1, 219.7, 0.854], [348.6, 172.8, 0.848], [255.1, 157.3, 0.849], [414.1, 186.0, 0.559], [210.8, 164.0, 0.79], [459.5, 387.8, 0.232], [147.3, 311.0, 0.309], [455.7, 701.4, 0.379], [32.6, 572.8, 0.163], [499.3, 440.2, 0.601], [35.8, 436.5, 0.042], [376.3, 726.2, 0.21], [146.9, 724.1, 0.136], [447.8, 569.5, 0.117], [79.3, 679.5, 0.048], [458.8, 476.2, 0.066], [131.3, 581.8, 0.059]]",
52204,The Brain Eaters,1958,1,0.1216,,0.332,"[0.2, 37.7, 500.0, 741.3]","[[110.6, 431.6, 0.761], [198.8, 327.1, 0.89], [62.4, 367.4, 0.918], [447.8, 334.5, 0.715], [38.6, 394.9, 0.443], [475.7, 722.0, 0.107], [32.8, 717.9, 0.196], [490.3, 417.1, 0.055], [7.0, 594.4, 0.157], [348.5, 349.2, 0.05], [54.9, 478.0, 0.295], [455.7, 713.2, 0.277], [206.2, 729.7, 0.22], [451.1, 729.9, 0.242], [34.5, 716.0, 0.128], [204.5, 595.3, 0.104], [179.2, 579.7, 0.079]]",
54539,The Inhuman Woman,1924,0,,,,,,
56429,Up from the Depths,1979,0,,,,,,
58421,Ignition,2002,2,0.3632,0.1469,0.371,"[26.8, 135.4, 498.6, 718.9]","[[453.8, 421.3, 0.916], [475.8, 364.6, 1.0], [388.0, 364.3, 1.001], [494.1, 371.0, 0.643], [296.4, 401.6, 0.951], [437.0, 637.0, 0.588], [127.3, 571.7, 0.373], [457.7, 740.2, 0.078], [53.9, 726.3, 0.25], [468.3, 706.7, 0.148], [174.1, 720.4, 0.114], [350.0, 951.3, 0.017], [142.1, 951.4, 0.037], [441.1, 546.1, 0.022], [211.5, 738.2, 0.022], [139.3, 686.8, 0.061], [134.3, 687.4, 0.082]]",
60523,Chicago Calling,1951,11,0.8057,0.04,0.578,"[38.3, 18.8, 480.9, 377.9]","[[340.7, 169.5, 0.937], [379.3, 170.9, 0.938], [345.6, 134.0, 1.018], [403.6, 196.4, 0.812], [323.6, 119.4, 0.879], [342.8, 317.4, 0.511], [229.6, 138.9, 0.736], [408.9, 439.1, 0.432], [85.4, 60.8, 0.965], [423.8, 299.1, 0.857], [308.7, 72.9, 0.924], [98.2, 454.3, 0.283], [6.8, 337.5, 0.172], [27.6, 511.2, 0.069], [26.8, 512.8, 0.053], [82.8, 386.8, 0.172], [308.3, 79.2, 0.066]]",
64568,Taste of Fear,1961,1,0.3286,0.1261,0.357,"[3.7, 204.0, 417.4, 750.0]","[[213.9, 368.3, 0.677], [275.6, 540.4, 0.716], [184.4, 363.2, 0.764], [240.2, 371.2, 0.557], [147.9, 398.5, 0.504], [235.6, 470.4, 0.272], [162.5, 487.3, 0.115], [250.2, 510.7, 0.081], [257.9, 681.0, 0.117], [164.1, 293.2, 0.355], [172.7, 444.6, 0.349], [315.0, 729.3, 0.344], [264.8, 737.5, 0.528], [264.7, 690.8, 0.075], [274.0, 681.0, 0.104], [191.5, 482.7, 0.228], [169.1, 477.9, 0.285]]",
67430,Zoo zéro,1979,1,0.7919,0.0893,0.308,"[35.0, 261.1, 160.8, 397.9]","[[84.4, 327.6, 0.591], [98.4, 312.7, 0.768], [64.8, 324.4, 0.637], [122.6, 318.3, 0.726], [151.5, 313.7, 0.457], [133.3, 368.9, 0.372], [80.1, 369.3, 0.341], [216.3, 385.1, 0.094], [60.5, 293.5, 0.338], [217.1, 380.5, 0.186], [41.7, 245.2, 0.46], [106.0, 433.6, 0.057], [80.5, 420.3, 0.085], [191.6, 377.7, 0.022], [49.8, 406.6, 0.02], [70.4, 397.5, 0.033], [63.2, 397.9, 0.05]]",
69351,Beauty and the Beast,2005,6,0.6795,0.0824,0.594,"[0.0, 104.9, 459.7, 732.2]","[[111.0, 217.0, 0.942], [133.2, 193.6, 0.982], [91.4, 195.3, 0.939], [164.6, 198.5, 0.952], [76.0, 200.6, 0.875], [184.4, 300.5, 0.698], [81.5, 313.6, 0.653], [263.8, 401.8, 0.221], [83.5, 379.4, 0.354], [404.3, 347.0, 0.606], [38.3, 386.2, 0.647], [159.4, 588.0, 0.312], [108.3, 702.5, 0.186], [303.9, 541.2, 0.584], [31.4, 546.3, 0.582], [352.1, 719.0, 0.376], [39.3, 714.7, 0.196]]",
74707,Mystery House,1938,3,0.4161,0.212,0.479,"[0.0, 0.0, 499.7, 747.7]","[[162.1, 277.4, 0.951], [202.0, 237.1, 0.942], [121.3, 222.1, 0.936], [234.0, 257.1, 0.756], [64.7, 228.5, 0.857], [235.6, 406.6, 0.575], [18.4, 421.9, 0.363], [350.2, 611.2, 0.212], [0.5, 523.5, 0.196], [383.1, 648.3, 0.372], [34.3, 357.0, 0.822], [234.8, 722.7, 0.173], [66.8, 713.4, 0.165], [405.3, 737.8, 0.202], [389.0, 740.9, 0.131], [377.9, 659.9, 0.252], [377.0, 667.4, 0.239]]",
75506,World Without End,1956,2,0.5179,0.0071,0.471,"[252.6, 88.6, 475.7, 511.5]","[[365.7, 192.6, 0.692], [382.1, 178.1, 0.735], [352.2, 174.7, 0.834], [418.2, 176.0, 0.349], [331.9, 171.2, 0.488], [474.7, 116.3, 0.535], [476.0, 118.8, 0.656], [457.0, 216.8, 0.332], [456.8, 223.6, 0.292], [464.4, 463.5, 0.228], [472.0, 466.7, 0.283], [470.8, 444.3, 0.26], [475.4, 441.7, 0.271], [462.9, 184.4, 0.268], [463.3, 176.1, 0.414], [476.7, 453.7, 0.714], [474.6, 449.8, 0.655]]",
77067,DeadHeads,2011,0,,,,,,
80342,Lady Dragon 2,1993,0,,,,,,
81829,Bulldog Drummond,1929,3,0.7357,0.0387,0.798,"[249.6, 235.8, 498.7, 718.6]","[[400.6, 297.3, 0.95], [412.1, 284.2, 0.963], [396.3, 286.9, 1.023], [453.7, 281.6, 0.937], [396.3, 299.9, 0.747], [487.4, 349.8, 0.924], [400.0, 366.5, 1.079], [475.3, 420.9, 0.629], [382.1, 445.5, 0.742], [426.9, 431.0, 0.705], [381.9, 462.3, 0.464], [470.6, 541.9, 0.902], [398.2, 543.3, 0.896], [440.2, 666.7, 0.856], [283.0, 632.8, 1.024], [449.9, 727.0, 0.141], [405.3, 714.6, 0.584]]",
84770,The Large Rope,1953,2,0.6922,0.1043,0.604,"[6.6, 108.1, 367.3, 479.0]","[[123.8, 195.8, 0.967], [140.0, 175.0, 0.989], [108.3, 184.0, 0.97], [182.5, 175.8, 0.951], [98.8, 196.9, 0.732], [166.6, 259.1, 0.834], [242.2, 231.3, 0.817], [74.8, 355.3, 0.891], [308.0, 299.1, 0.392], [52.3, 300.5, 0.886], [248.0, 216.7, 0.382], [263.9, 502.3, 0.515], [335.3, 481.0, 0.543], [256.8, 658.9, 0.11], [292.0, 658.5, 0.148], [277.2, 644.3, 0.067], [292.7, 638.8, 0.078]]",
93394,Elevator,2013,0,,,,,,
94716,A Cottage on Dartmoor,1929,1,0.6884,0.0634,0.61,"[175.7, 512.0, 460.1, 697.2]","[[433.0, 559.1, 0.852], [436.7, 550.8, 0.897], [427.7, 548.6, 0.915], [430.6, 550.2, 0.796], [409.9, 543.9, 0.876], [416.9, 580.1, 0.621], [386.5, 575.7, 0.697], [336.7, 574.2, 0.541], [355.6, 602.5, 0.516], [307.7, 552.3, 0.725], [306.8, 558.9, 0.208], [406.5, 629.9, 0.453], [352.3, 639.9, 0.409], [460.3, 681.1, 0.405], [290.5, 668.9, 0.796], [456.0, 723.5, 0.169], [206.1, 686.5, 0.499]]",
136686,Doraemon: Nobita and the Green Giant Legend,2008,3,1.3352,0.0428,0.641,"[0.0, 331.3, 82.5, 616.6]","[[93.2, 285.6, 0.737], [100.7, 274.2, 0.609], [80.1, 271.2, 0.899], [54.4, 270.3, 0.422], [41.7, 277.3, 1.023], [75.3, 347.1, 0.782], [29.8, 345.3, 0.808], [23.1, 453.7, 0.422], [12.6, 476.3, 0.649], [25.5, 475.2, 0.608], [37.1, 482.0, 0.756], [19.6, 483.2, 0.654], [7.5, 492.8, 0.735], [58.0, 600.9, 0.715], [62.5, 607.8, 0.741], [78.6, 686.3, 0.165], [104.3, 683.0, 0.166]]",
138999,Little Corey Gorey,1993,3,0.7737,0.0857,0.747,"[97.6, 257.1, 435.1, 749.1]","[[284.5, 371.7, 0.975], [294.8, 349.1, 0.998], [262.3, 354.3, 0.98], [307.1, 345.3, 0.853], [216.8, 354.1, 1.012], [320.8, 414.0, 0.97], [165.1, 420.5, 0.944], [361.9, 526.3, 0.657], [118.0, 533.4, 1.015], [388.5, 500.8, 0.732], [237.9, 521.4, 0.965], [348.6, 665.2, 0.773], [249.2, 687.9, 0.781], [448.4, 734.2, 0.466], [271.3, 746.7, 0.168], [358.4, 711.4, 0.246], [242.0, 722.5, 0.161]]",
140418,Bulldog Drummond at Bay,1937,5,0.8994,0.0221,0.805,"[0.0, 32.6, 236.8, 746.6]","[[112.4, 132.3, 0.961], [126.6, 116.0, 0.98], [97.8, 114.0, 0.995], [138.1, 122.1, 0.974], [59.2, 115.3, 0.958], [170.4, 202.7, 0.955], [9.4, 204.2, 0.904], [202.0, 341.2, 0.858], [-20.2, 327.0, 0.453], [207.5, 465.3, 0.871], [-4.2, 310.6, 0.87], [154.2, 490.3, 0.824], [46.9, 494.2, 0.787], [155.9, 675.2, 0.845], [52.4, 686.5, 0.862], [149.5, 781.7, 0.346], [54.5, 807.4, 0.248]]",
160399,Megazone 23 III - Part 1 - The Awakening of Eve,1989,1,0.5374,0.0432,0.496,"[130.6, 18.8, 454.1, 502.3]","[[230.3, 141.0, 0.726], [231.5, 129.1, 0.764], [205.0, 134.9, 0.864], [246.9, 132.7, 0.736], [190.8, 152.4, 0.868], [265.7, 211.1, 0.55], [211.0, 202.4, 0.597], [300.7, 317.6, 0.504], [233.6, 289.5, 0.19], [366.3, 201.8, 0.452], [199.4, 190.6, 0.161], [293.6, 342.9, 0.496], [272.2, 331.6, 0.345], [246.5, 400.4, 0.394], [167.3, 329.0, 0.171], [421.8, 493.0, 0.477], [226.1, 435.1, 0.138]]",
173095,The Brides Wore Blood,1972,1,0.6696,0.0577,0.732,"[37.4, 4.1, 490.9, 734.1]","[[184.9, 85.4, 0.868], [197.5, 59.7, 0.784], [159.5, 85.6, 0.769], [252.2, 94.0, 0.863], [154.5, 116.1, 0.803], [315.1, 212.8, 0.976], [149.0, 202.0, 0.939], [354.9, 379.5, 0.928], [78.0, 389.0, 0.952], [413.1, 440.6, 0.951], [231.8, 432.6, 0.871], [321.9, 506.4, 0.778], [205.3, 506.2, 0.661], [301.1, 721.2, 0.668], [163.2, 718.2, 0.547], [321.5, 762.4, 0.035], [124.4, 730.5, 0.057]]",
201989,Bottles,1936,1,0.673,0.3264,0.314,"[338.5, 396.7, 498.6, 632.4]","[[375.9, 476.3, 0.521], [376.7, 459.7, 0.559], [363.3, 467.5, 0.486], [396.7, 452.8, 0.346], [361.8, 478.6, 0.247], [476.3, 303.5, 0.222], [469.6, 310.6, 0.436], [397.4, 368.1, 0.268], [408.1, 361.7, 0.4], [486.4, 516.6, 0.383], [380.6, 400.9, 0.502], [495.2, 565.4, 0.239], [501.5, 566.7, 0.267], [515.8, 709.1, 0.108], [516.8, 709.6, 0.171], [597.7, 895.7, 0.076], [580.1, 892.4, 0.103]]",
213215,The Returning,1983,0,,,,,,
214905,Below the Deadline,1936,18,0.9455,0.0925,0.752,"[200.8, 178.6, 425.5, 369.9]","[[365.1, 184.2, 0.992], [366.9, 172.9, 0.953], [360.1, 176.4, 0.941], [391.4, 152.6, 0.912], [378.7, 160.2, 0.64], [458.1, 169.9, 0.928], [402.9, 208.6, 0.783], [467.1, 265.7, 1.011], [386.8, 279.0, 0.829], [420.9, 341.7, 1.018], [393.5, 333.9, 0.919], [476.8, 339.4, 0.706], [440.6, 344.4, 0.599], [467.6, 442.5, 0.353], [397.6, 391.2, 0.45], [469.3, 493.5, 0.416], [399.8, 500.9, 0.337]]",
224473,The Sweet Sound of Death,1965,2,0.2267,0.004,0.565,"[283.7, 146.7, 445.0, 707.8]","[[461.0, 220.0, 0.589], [461.0, 208.5, 0.608], [462.5, 211.8, 0.616], [463.9, 209.0, 0.66], [472.9, 200.8, 0.644], [484.3, 250.4, 0.502], [484.8, 241.5, 0.534], [433.1, 218.1, 0.614], [430.6, 219.6, 0.601], [456.0, 232.2, 0.431], [453.3, 234.2, 0.34], [479.3, 378.6, 0.557], [481.4, 377.2, 0.617], [480.5, 481.6, 0.571], [482.0, 482.8, 0.649], [467.8, 578.0, 0.573], [468.7, 578.9, 0.503]]",
249294,Celia: The Sinister Affair of Poor Aunt Nora,1949,2,0.6929,0.0045,0.454,"[38.8, 97.6, 491.4, 729.9]","[[238.2, 310.8, 0.98], [284.5, 265.2, 0.968], [200.9, 263.6, 0.994], [339.3, 285.8, 0.896], [145.5, 275.6, 0.895], [443.0, 492.0, 0.553], [55.6, 507.8, 0.71], [468.9, 708.6, 0.589], [42.6, 728.7, 0.557], [404.0, 714.9, 0.036], [28.7, 317.8, 0.145], [379.3, 742.1, 0.138], [167.3, 742.9, 0.105], [427.9, 491.8, 0.054], [67.6, 545.8, 0.018], [245.7, 680.4, 0.026], [138.2, 682.4, 0.053]]",
267338,"Love, Honor and Oh-Baby!",1940,9,0.2911,0.2618,0.493,"[0.0, 142.4, 499.4, 749.0]","[[134.0, 247.0, 0.919], [136.8, 225.9, 0.915], [97.6, 231.3, 0.941], [155.4, 234.7, 0.491], [47.9, 261.1, 0.96], [191.4, 335.8, 0.73], [41.4, 394.7, 0.573], [315.3, 433.4, 0.443], [45.6, 554.0, 0.217], [446.2, 443.7, 0.491], [239.4, 420.5, 0.301], [258.0, 579.5, 0.253], [125.0, 622.3, 0.274], [405.0, 607.5, 0.286], [374.3, 638.7, 0.213], [430.6, 734.7, 0.262], [390.7, 740.5, 0.111]]",
280002,The Remaining,2014,5,0.1785,0.018,0.359,"[254.9, 421.4, 459.8, 725.5]","[[481.0, 417.8, 0.595], [486.4, 402.6, 0.484], [476.9, 403.6, 0.485], [496.6, 437.1, 0.263], [478.4, 442.8, 0.105], [490.4, 537.6, 0.47], [489.5, 529.1, 0.446], [457.0, 620.2, 0.537], [456.4, 612.9, 0.499], [454.3, 631.1, 0.351], [459.0, 624.0, 0.344], [475.9, 710.8, 0.334], [475.6, 705.3, 0.415], [443.5, 725.2, 0.24], [463.3, 718.9, 0.178], [455.6, 715.4, 0.169], [452.4, 709.2, 0.185]]",
294307,The Last Hit,1993,2,0.3862,0.1286,0.409,"[162.3, 88.0, 426.6, 483.6]","[[281.7, 266.2, 0.929], [318.7, 224.9, 0.983], [255.3, 228.4, 0.954], [370.2, 231.9, 0.919], [226.9, 225.7, 0.759], [412.0, 377.4, 0.49], [237.9, 362.2, 0.301], [396.9, 583.6, 0.212], [241.6, 575.1, 0.148], [279.4, 443.0, 0.583], [239.0, 417.5, 0.225], [403.3, 680.6, 0.087], [295.3, 691.7, 0.11], [334.2, 602.9, 0.062], [243.1, 664.5, 0.062], [394.0, 691.0, 0.068], [352.6, 691.3, 0.062]]",
299460,The Mother  Tree,1958,2,0.0067,0.02,0.253,"[233.9, 428.9, 466.8, 708.8]","[[277.8, 488.2, 0.16], [410.4, 620.3, 0.157], [276.3, 664.7, 0.19], [476.9, 677.9, 0.103], [271.0, 679.1, 0.217], [329.1, 705.6, 0.171], [341.7, 697.3, 0.139], [447.0, 684.8, 0.43], [447.7, 679.5, 0.465], [407.7, 684.6, 0.433], [417.3, 686.1, 0.346], [444.7, 692.0, 0.295], [433.1, 690.5, 0.332], [340.2, 704.0, 0.294], [331.4, 711.3, 0.222], [433.3, 680.3, 0.199], [355.8, 698.2, 0.151]]",
