id,title,year,creature_n,creature_top_label,creature_top_score,creature_boxes,weapon_n,weapon_top_label,weapon_top_score,weapon_boxes,error
29297,Destination Inner Space,1966,3,giant_monster,0.58,"[{""label"": ""giant_monster"", ""score"": 0.58, ""box"": [0.0118, 0.0559, 0.5846, 0.5125]}, {""label"": ""zombie"", ""score"": 0.533, ""box"": [0.4737, 0.1733, 0.2703, 0.2916]}, {""label"": ""zombie"", ""score"": 0.514, ""box"": [0.4036, 0.4975, 0.1344, 0.1044]}]",1,sword,0.327,"[{""label"": ""sword"", ""score"": 0.327, ""box"": [0.5737, 0.4037, 0.1182, 0.06]}]",
31948,Gray Lady Down,1978,3,zombie,0.379,"[{""label"": ""zombie"", ""score"": 0.379, ""box"": [0.5952, 0.5269, 0.2484, 0.1666]}, {""label"": ""zombie"", ""score"": 0.355, ""box"": [0.5311, 0.7071, 0.2162, 0.0752]}, {""label"": ""zombie"", ""score"": 0.344, ""box"": [0.7478, 0.6235, 0.1417, 0.1302]}]",0,,,[],
32849,Abandoned,1949,2,zombie,0.245,"[{""label"": ""zombie"", ""score"": 0.245, ""box"": [0.4123, 0.7198, 0.5818, 0.2763]}, {""label"": ""masked_killer"", ""score"": 0.225, ""box"": [0.417, 0.8815, 0.3417, 0.1156]}]",0,,,[],
33546,The Time of Their Lives,1946,0,,,[],0,,,[],
34734,Stir of Echoes: The Homecoming,2007,3,zombie,0.374,"[{""label"": ""zombie"", ""score"": 0.374, ""box"": [0.8361, 0.5871, 0.087, 0.1909]}, {""label"": ""zombie"", ""score"": 0.348, ""box"": [0.0129, 0.0192, 0.9724, 0.973]}, {""label"": ""zombie"", ""score"": 0.313, ""box"": [0.015, 0.2654, 0.8233, 0.714]}]",0,,,[],
36778,Spellbinder,1988,1,vampire,0.285,"[{""label"": ""vampire"", ""score"": 0.285, ""box"": [0.0093, 0.0116, 0.9762, 0.9654]}]",0,,,[],
38456,Charlie Chan's Murder Cruise,1940,3,zombie,0.313,"[{""label"": ""zombie"", ""score"": 0.313, ""box"": [0.2383, 0.0, 0.77, 0.7591]}, {""label"": ""zombie"", ""score"": 0.261, ""box"": [0.1231, 0.7842, 0.2471, 0.211]}, {""label"": ""vampire"", ""score"": 0.247, ""box"": [0.0242, 0.0172, 0.9736, 0.9668]}]",0,,,[],
40091,Sex Madness,1938,3,vampire,0.46,"[{""label"": ""vampire"", ""score"": 0.46, ""box"": [0.0138, 0.0707, 0.895, 0.6411]}, {""label"": ""vampire"", ""score"": 0.427, ""box"": [0.2094, 0.0654, 0.4314, 0.4756]}, {""label"": ""vampire"", ""score"": 0.402, ""box"": [0.0121, 0.3129, 0.8805, 0.4174]}]",0,,,[],
40252,Witchboard III: The Possession,1997,3,skeleton,0.452,"[{""label"": ""skeleton"", ""score"": 0.452, ""box"": [0.3773, 0.4546, 0.2245, 0.1785]}, {""label"": ""masked_killer"", ""score"": 0.321, ""box"": [0.2893, 0.0284, 0.1892, 0.2617]}, {""label"": ""demon"", ""score"": 0.321, ""box"": [0.3753, 0.5183, 0.2284, 0.156]}]",0,,,[],
44169,The Falcon in Danger,1943,1,vampire,0.209,"[{""label"": ""vampire"", ""score"": 0.209, ""box"": [0.0071, 0.6137, 0.355, 0.3863]}]",0,,,[],
47062,Miraculous Virgin,1967,3,bird,0.608,"[{""label"": ""bird"", ""score"": 0.608, ""box"": [0.6954, 0.3998, 0.2457, 0.337]}, {""label"": ""vampire"", ""score"": 0.383, ""box"": [0.0045, 0.2466, 0.966, 0.7598]}, {""label"": ""vampire"", ""score"": 0.274, ""box"": [0.6719, 0.4179, 0.3257, 0.5883]}]",0,,,[],
47286,Cool Air,1999,3,werewolf,0.52,"[{""label"": ""werewolf"", ""score"": 0.52, ""box"": [0.2452, 0.0466, 0.6472, 0.5879]}, {""label"": ""werewolf"", ""score"": 0.378, ""box"": [0.0343, 0.04, 0.8998, 0.9359]}, {""label"": ""zombie"", ""score"": 0.323, ""box"": [0.0362, 0.318, 0.442, 0.4217]}]",0,,,[],
51565,The Dragon Murder Case,1934,3,snake,0.437,"[{""label"": ""snake"", ""score"": 0.437, ""box"": [0.7177, 0.1733, 0.2831, 0.2425]}, {""label"": ""zombie"", ""score"": 0.403, ""box"": [0.0875, 0.0001, 0.3605, 0.2394]}, {""label"": ""zombie"", ""score"": 0.387, ""box"": [0.4044, 0.0, 0.5921, 0.5879]}]",0,,,[],
52204,The Brain Eaters,1958,3,zombie,0.504,"[{""label"": ""zombie"", ""score"": 0.504, ""box"": [0.0, 0.9221, 0.0562, 0.0738]}, {""label"": ""zombie"", ""score"": 0.502, ""box"": [0.2896, 0.9298, 0.0851, 0.0705]}, {""label"": ""zombie"", ""score"": 0.496, ""box"": [0.0668, 0.8544, 0.1402, 0.1408]}]",0,,,[],
54539,The Inhuman Woman,1924,3,vampire,0.5,"[{""label"": ""vampire"", ""score"": 0.5, ""box"": [0.3139, 0.4763, 0.5098, 0.3538]}, {""label"": ""zombie"", ""score"": 0.339, ""box"": [0.3329, 0.3731, 0.068, 0.0341]}, {""label"": ""vampire"", ""score"": 0.258, ""box"": [0.3078, 0.529, 0.2685, 0.3018]}]",2,axe,0.296,"[{""label"": ""axe"", ""score"": 0.296, ""box"": [0.6259, 0.4736, 0.1946, 0.1142]}, {""label"": ""arrow"", ""score"": 0.211, ""box"": [0.8196, 0.1855, 0.1104, 0.0649]}]",
56429,Up from the Depths,1979,2,shark,0.619,"[{""label"": ""shark"", ""score"": 0.619, ""box"": [0.2387, 0.1556, 0.7512, 0.6134]}, {""label"": ""alien"", ""score"": 0.328, ""box"": [0.3302, 0.0365, 0.1954, 0.4628]}]",0,,,[],
58421,Ignition,2002,3,vampire,0.439,"[{""label"": ""vampire"", ""score"": 0.439, ""box"": [0.3108, 0.2174, 0.6876, 0.6452]}, {""label"": ""zombie"", ""score"": 0.345, ""box"": [0.0025, 0.0785, 0.6254, 0.6273]}, {""label"": ""vampire"", ""score"": 0.301, ""box"": [0.0, 0.0844, 0.9908, 0.8783]}]",3,machete,0.579,"[{""label"": ""machete"", ""score"": 0.579, ""box"": [0.0301, 0.1606, 0.7434, 0.8313]}, {""label"": ""knife"", ""score"": 0.43, ""box"": [0.281, 0.1578, 0.4992, 0.5176]}, {""label"": ""knife"", ""score"": 0.225, ""box"": [0.466, 0.1456, 0.3174, 0.3613]}]",
60523,Chicago Calling,1951,3,vampire,0.327,"[{""label"": ""vampire"", ""score"": 0.327, ""box"": [0.1093, 0.0341, 0.847, 0.4726]}, {""label"": ""vampire"", ""score"": 0.247, ""box"": [0.0908, 0.5951, 0.1656, 0.1928]}, {""label"": ""vampire"", ""score"": 0.245, ""box"": [0.4089, 0.8799, 0.1522, 0.1183]}]",0,,,[],
64568,Taste of Fear,1961,3,zombie,0.384,"[{""label"": ""zombie"", ""score"": 0.384, ""box"": [0.1074, 0.0069, 0.3021, 0.4056]}, {""label"": ""zombie"", ""score"": 0.363, ""box"": [0.161, 0.1424, 0.1721, 0.135]}, {""label"": ""zombie"", ""score"": 0.33, ""box"": [0.0956, 0.0, 0.0791, 0.0869]}]",0,,,[],
67430,Zoo zéro,1979,3,zombie,0.444,"[{""label"": ""zombie"", ""score"": 0.444, ""box"": [0.007, 0.4903, 0.1789, 0.0944]}, {""label"": ""wolf_dog"", ""score"": 0.419, ""box"": [0.468, 0.6817, 0.4052, 0.2322]}, {""label"": ""zombie"", ""score"": 0.356, ""box"": [0.1286, 0.6536, 0.2293, 0.2617]}]",0,,,[],
69351,Beauty and the Beast,2005,3,zombie,0.506,"[{""label"": ""zombie"", ""score"": 0.506, ""box"": [0.0026, 0.5366, 0.4233, 0.4483]}, {""label"": ""vampire"", ""score"": 0.436, ""box"": [0.3453, 0.1538, 0.6508, 0.5431]}, {""label"": ""zombie"", ""score"": 0.427, ""box"": [0.407, 0.697, 0.162, 0.2842]}]",3,sword,0.504,"[{""label"": ""sword"", ""score"": 0.504, ""box"": [0.2574, 0.8087, 0.2318, 0.12]}, {""label"": ""sword"", ""score"": 0.356, ""box"": [0.7462, 0.4056, 0.2558, 0.0491]}, {""label"": ""sword"", ""score"": 0.3, ""box"": [0.0701, 0.7701, 0.4372, 0.2154]}]",
74707,Mystery House,1938,3,zombie,0.254,"[{""label"": ""zombie"", ""score"": 0.254, ""box"": [0.498, 0.0, 0.4957, 0.5793]}, {""label"": ""vampire"", ""score"": 0.239, ""box"": [0.0061, 0.0603, 0.5338, 0.5608]}, {""label"": ""ghost"", ""score"": 0.228, ""box"": [0.5698, 0.7571, 0.2787, 0.1561]}]",0,,,[],
75506,World Without End,1956,3,zombie,0.527,"[{""label"": ""zombie"", ""score"": 0.527, ""box"": [0.1848, 0.25, 0.0513, 0.0443]}, {""label"": ""zombie"", ""score"": 0.487, ""box"": [0.1833, 0.2489, 0.0569, 0.0749]}, {""label"": ""zombie"", ""score"": 0.469, ""box"": [0.4654, 0.2673, 0.0614, 0.0536]}]",3,sword,0.4,"[{""label"": ""sword"", ""score"": 0.4, ""box"": [0.4845, 0.1884, 0.0977, 0.0368]}, {""label"": ""axe"", ""score"": 0.311, ""box"": [0.2303, 0.1096, 0.1319, 0.2573]}, {""label"": ""sword"", ""score"": 0.227, ""box"": [0.0057, 0.1221, 0.1094, 0.1958]}]",
77067,DeadHeads,2011,3,zombie,0.479,"[{""label"": ""zombie"", ""score"": 0.479, ""box"": [0.0474, 0.2068, 0.349, 0.3517]}, {""label"": ""zombie"", ""score"": 0.455, ""box"": [0.2355, 0.0919, 0.6068, 0.4748]}, {""label"": ""zombie"", ""score"": 0.44, ""box"": [0.036, 0.3706, 0.1781, 0.1164]}]",3,gun,0.507,"[{""label"": ""gun"", ""score"": 0.507, ""box"": [0.1086, 0.3998, 0.2655, 0.1718]}, {""label"": ""gun"", ""score"": 0.495, ""box"": [0.8035, 0.117, 0.1826, 0.201]}, {""label"": ""gun"", ""score"": 0.399, ""box"": [0.3288, 0.3229, 0.3636, 0.2513]}]",
80342,Lady Dragon 2,1993,3,vampire,0.357,"[{""label"": ""vampire"", ""score"": 0.357, ""box"": [0.2893, 0.0456, 0.5961, 0.9453]}, {""label"": ""vampire"", ""score"": 0.256, ""box"": [0.0119, 0.0123, 0.9719, 0.9774]}, {""label"": ""spider"", ""score"": 0.249, ""box"": [0.1291, 0.6613, 0.5884, 0.3242]}]",2,sword,0.333,"[{""label"": ""sword"", ""score"": 0.333, ""box"": [0.3155, 0.5854, 0.0559, 0.1721]}, {""label"": ""sword"", ""score"": 0.243, ""box"": [0.3176, 0.5869, 0.0279, 0.1687]}]",
81829,Bulldog Drummond,1929,2,zombie,0.22,"[{""label"": ""zombie"", ""score"": 0.22, ""box"": [0.1601, 0.3548, 0.2316, 0.1716]}, {""label"": ""zombie"", ""score"": 0.207, ""box"": [0.1666, 0.2082, 0.4841, 0.564]}]",0,,,[],
84770,The Large Rope,1953,0,,,[],0,,,[],
93394,Elevator,2013,0,,,[],0,,,[],
94716,A Cottage on Dartmoor,1929,0,,,[],0,,,[],
136686,Doraemon: Nobita and the Green Giant Legend,2008,3,ghost,0.398,"[{""label"": ""ghost"", ""score"": 0.398, ""box"": [0.595, 0.3759, 0.4024, 0.419]}, {""label"": ""ghost"", ""score"": 0.312, ""box"": [0.3019, 0.5426, 0.1281, 0.1768]}, {""label"": ""ghost"", ""score"": 0.299, ""box"": [0.3394, 0.5111, 0.1957, 0.2129]}]",0,,,[],
138999,Little Corey Gorey,1993,3,vampire,0.461,"[{""label"": ""vampire"", ""score"": 0.461, ""box"": [0.1916, 0.3677, 0.6569, 0.646]}, {""label"": ""zombie"", ""score"": 0.394, ""box"": [0.7876, 0.4415, 0.1118, 0.1325]}, {""label"": ""zombie"", ""score"": 0.344, ""box"": [0.0027, 0.6225, 0.2179, 0.0942]}]",3,machete,0.391,"[{""label"": ""machete"", ""score"": 0.391, ""box"": [0.6406, 0.7007, 0.204, 0.2316]}, {""label"": ""knife"", ""score"": 0.328, ""box"": [0.6354, 0.6996, 0.1079, 0.0816]}, {""label"": ""chainsaw"", ""score"": 0.328, ""box"": [0.6379, 0.693, 0.2328, 0.1039]}]",
140418,Bulldog Drummond at Bay,1937,0,,,[],1,gun,0.298,"[{""label"": ""gun"", ""score"": 0.298, ""box"": [0.0074, 0.3499, 0.1564, 0.0865]}]",
160399,Megazone 23 III - Part 1 - The Awakening of Eve,1989,1,witch,0.365,"[{""label"": ""witch"", ""score"": 0.365, ""box"": [0.1036, 0.083, 0.7883, 0.7415]}]",0,,,[],
173095,The Brides Wore Blood,1972,0,,,[],0,,,[],
201989,Bottles,1936,3,vampire,0.422,"[{""label"": ""vampire"", ""score"": 0.422, ""box"": [0.0, 0.4994, 0.7801, 0.4749]}, {""label"": ""vampire"", ""score"": 0.376, ""box"": [0.6672, 0.5294, 0.3325, 0.3087]}, {""label"": ""spider"", ""score"": 0.335, ""box"": [0.0233, 0.7284, 0.123, 0.0849]}]",2,sword,0.23,"[{""label"": ""sword"", ""score"": 0.23, ""box"": [0.0001, 0.5685, 0.3907, 0.0917]}, {""label"": ""axe"", ""score"": 0.2, ""box"": [0.6802, 0.5263, 0.0967, 0.081]}]",
213215,The Returning,1983,3,zombie,0.301,"[{""label"": ""zombie"", ""score"": 0.301, ""box"": [0.6863, 0.7883, 0.0424, 0.0505]}, {""label"": ""zombie"", ""score"": 0.299, ""box"": [0.6438, 0.7852, 0.1076, 0.0572]}, {""label"": ""zombie"", ""score"": 0.206, ""box"": [0.6816, 0.787, 0.0479, 0.0504]}]",1,arrow,0.29,"[{""label"": ""arrow"", ""score"": 0.29, ""box"": [0.5986, 0.8394, 0.0753, 0.0934]}]",
214905,Below the Deadline,1936,3,vampire,0.295,"[{""label"": ""vampire"", ""score"": 0.295, ""box"": [0.1126, 0.5324, 0.1348, 0.1715]}, {""label"": ""vampire"", ""score"": 0.294, ""box"": [0.2042, 0.2549, 0.249, 0.1789]}, {""label"": ""zombie"", ""score"": 0.278, ""box"": [0.4123, 0.913, 0.0695, 0.0742]}]",0,,,[],
224473,The Sweet Sound of Death,1965,0,,,[],0,,,[],
249294,Celia: The Sinister Affair of Poor Aunt Nora,1949,3,witch,0.247,"[{""label"": ""witch"", ""score"": 0.247, ""box"": [0.0, 0.1243, 0.373, 0.2813]}, {""label"": ""witch"", ""score"": 0.244, ""box"": [0.0088, 0.1267, 0.3625, 0.4841]}, {""label"": ""vampire"", ""score"": 0.238, ""box"": [0.1163, 0.1227, 0.7374, 0.5041]}]",0,,,[],
267338,"Love, Honor and Oh-Baby!",1940,3,vampire,0.321,"[{""label"": ""vampire"", ""score"": 0.321, ""box"": [0.021, 0.1625, 0.4011, 0.435]}, {""label"": ""vampire"", ""score"": 0.31, ""box"": [0.317, 0.1914, 0.5264, 0.3276]}, {""label"": ""vampire"", ""score"": 0.287, ""box"": [0.6041, 0.1634, 0.3933, 0.3259]}]",0,,,[],
280002,The Remaining,2014,0,,,[],0,,,[],
294307,The Last Hit,1993,3,zombie,0.361,"[{""label"": ""zombie"", ""score"": 0.361, ""box"": [0.1615, 0.1128, 0.6537, 0.5451]}, {""label"": ""zombie"", ""score"": 0.214, ""box"": [0.162, 0.1166, 0.6884, 0.8227]}, {""label"": ""zombie"", ""score"": 0.206, ""box"": [0.4912, 0.3936, 0.3653, 0.5482]}]",2,gun,0.664,"[{""label"": ""gun"", ""score"": 0.664, ""box"": [0.4057, 0.2602, 0.1395, 0.2395]}, {""label"": ""gun"", ""score"": 0.259, ""box"": [0.1279, 0.4496, 0.2175, 0.06]}]",
299460,The Mother  Tree,1958,3,werewolf,0.458,"[{""label"": ""werewolf"", ""score"": 0.458, ""box"": [0.2928, 0.0053, 0.6782, 0.3815]}, {""label"": ""demon"", ""score"": 0.416, ""box"": [0.2536, 0.0035, 0.1646, 0.1918]}, {""label"": ""witch"", ""score"": 0.386, ""box"": [0.2117, 0.3894, 0.3741, 0.5768]}]",2,sword,0.476,"[{""label"": ""sword"", ""score"": 0.476, ""box"": [0.4773, 0.8227, 0.1073, 0.1745]}, {""label"": ""sword"", ""score"": 0.302, ""box"": [0.6807, 0.7551, 0.0711, 0.1412]}]",
324153,The Shadow Laughs,1933,3,vampire,0.289,"[{""label"": ""vampire"", ""score"": 0.289, ""box"": [0.0487, 0.5688, 0.8952, 0.4363]}, {""label"": ""vampire"", ""score"": 0.283, ""box"": [0.2447, 0.615, 0.6716, 0.3818]}, {""label"": ""vampire"", ""score"": 0.269, ""box"": [0.0617, 0.5636, 0.5732, 0.436]}]",0,,,[],
324621,The Return,1980,2,vampire,0.376,"[{""label"": ""vampire"", ""score"": 0.376, ""box"": [0.1291, 0.6778, 0.8434, 0.3211]}, {""label"": ""zombie"", ""score"": 0.203, ""box"": [0.145, 0.6718, 0.3954, 0.3121]}]",0,,,[],
325622,The Hound of the Baskervilles,1921,0,,,[],0,,,[],
340758,Never Mention Murder,1965,3,ghost,0.279,"[{""label"": ""ghost"", ""score"": 0.279, ""box"": [0.0114, 0.3793, 0.1467, 0.0991]}, {""label"": ""masked_killer"", ""score"": 0.268, ""box"": [0.001, 0.2315, 0.0882, 0.0704]}, {""label"": ""masked_killer"", ""score"": 0.247, ""box"": [0.4167, 0.1109, 0.1125, 0.0722]}]",0,,,[],
361975,The Hoop of Bermuda,1988,1,vampire,0.427,"[{""label"": ""vampire"", ""score"": 0.427, ""box"": [0.1694, 0.3365, 0.6422, 0.6625]}]",0,,,[],
382290,M・Y・F・A・C・E,2005,1,doll,0.309,"[{""label"": ""doll"", ""score"": 0.309, ""box"": [0.0139, 0.0957, 0.9781, 0.9053]}]",0,,,[],
440871,Ghost Valley Raiders,1940,3,vampire,0.378,"[{""label"": ""vampire"", ""score"": 0.378, ""box"": [0.3084, 0.2506, 0.6095, 0.6803]}, {""label"": ""vampire"", ""score"": 0.29, ""box"": [0.0508, 0.513, 0.2297, 0.3168]}, {""label"": ""zombie"", ""score"": 0.273, ""box"": [0.7048, 0.1258, 0.0794, 0.0812]}]",3,gun,0.392,"[{""label"": ""gun"", ""score"": 0.392, ""box"": [0.1593, 0.7239, 0.1677, 0.0357]}, {""label"": ""gun"", ""score"": 0.343, ""box"": [0.1624, 0.7238, 0.1388, 0.0322]}, {""label"": ""gun"", ""score"": 0.305, ""box"": [0.1568, 0.7235, 0.2128, 0.0762]}]",
444713,Commando 2 - The Black Money Trail,2017,1,zombie,0.216,"[{""label"": ""zombie"", ""score"": 0.216, ""box"": [0.8496, 0.3474, 0.1491, 0.356]}]",0,,,[],
453424,Dr. Masher,1969,3,zombie,0.444,"[{""label"": ""zombie"", ""score"": 0.444, ""box"": [0.3396, 0.8178, 0.2937, 0.1768]}, {""label"": ""zombie"", ""score"": 0.304, ""box"": [0.1053, 0.8774, 0.1392, 0.1184]}, {""label"": ""zombie"", ""score"": 0.299, ""box"": [0.6576, 0.8312, 0.2953, 0.1614]}]",3,gun,0.503,"[{""label"": ""gun"", ""score"": 0.503, ""box"": [0.868, 0.888, 0.1317, 0.031]}, {""label"": ""rifle"", ""score"": 0.358, ""box"": [0.2129, 0.4565, 0.1946, 0.0241]}, {""label"": ""gun"", ""score"": 0.274, ""box"": [0.8703, 0.8861, 0.1281, 0.0742]}]",
459420,The Four Just Men,1921,0,,,[],0,,,[],
482337,Benaam,1999,3,zombie,0.375,"[{""label"": ""zombie"", ""score"": 0.375, ""box"": [0.4629, 0.6158, 0.0872, 0.1667]}, {""label"": ""werewolf"", ""score"": 0.364, ""box"": [0.4394, 0.0855, 0.5432, 0.4594]}, {""label"": ""zombie"", ""score"": 0.266, ""box"": [0.4687, 0.5298, 0.2581, 0.4454]}]",0,,,[],
483586,Rites of Blood,2004,3,vampire,0.391,"[{""label"": ""vampire"", ""score"": 0.391, ""box"": [0.1472, 0.2173, 0.3232, 0.5897]}, {""label"": ""zombie"", ""score"": 0.362, ""box"": [0.0908, 0.0878, 0.0758, 0.0711]}, {""label"": ""vampire"", ""score"": 0.287, ""box"": [0.7071, 0.1757, 0.1991, 0.5659]}]",0,,,[],
510733,The Ghost Breaker,1922,3,vampire,0.413,"[{""label"": ""vampire"", ""score"": 0.413, ""box"": [0.6923, 0.6017, 0.247, 0.3309]}, {""label"": ""vampire"", ""score"": 0.396, ""box"": [0.0474, 0.565, 0.4642, 0.3748]}, {""label"": ""vampire"", ""score"": 0.366, ""box"": [0.3993, 0.57, 0.3119, 0.308]}]",0,,,[],
517574,Doombeach,1989,3,shark,0.45,"[{""label"": ""shark"", ""score"": 0.45, ""box"": [0.0017, 0.3834, 0.9924, 0.1303]}, {""label"": ""shark"", ""score"": 0.24, ""box"": [0.058, 0.4666, 0.0947, 0.043]}, {""label"": ""shark"", ""score"": 0.239, ""box"": [0.01, 0.4613, 0.1532, 0.0523]}]",0,,,[],
535249,Our Correspondent,1959,3,vampire,0.365,"[{""label"": ""vampire"", ""score"": 0.365, ""box"": [0.0385, 0.001, 0.5964, 0.782]}, {""label"": ""vampire"", ""score"": 0.315, ""box"": [0.3419, 0.1677, 0.6058, 0.6363]}, {""label"": ""vampire"", ""score"": 0.248, ""box"": [0.0249, 0.0064, 0.9022, 0.7793]}]",3,arrow,0.245,"[{""label"": ""arrow"", ""score"": 0.245, ""box"": [0.1236, 0.3399, 0.0917, 0.1]}, {""label"": ""arrow"", ""score"": 0.233, ""box"": [0.2837, 0.3383, 0.0895, 0.0507]}, {""label"": ""arrow"", ""score"": 0.209, ""box"": [0.2851, 0.2617, 0.1078, 0.0384]}]",
539980,Maigret at the Minister,1987,2,vampire,0.284,"[{""label"": ""vampire"", ""score"": 0.284, ""box"": [0.3789, 0.346, 0.6207, 0.4821]}, {""label"": ""vampire"", ""score"": 0.214, ""box"": [0.0, 0.4178, 0.5332, 0.4409]}]",0,,,[],
547231,Pizza Hunt,2003,0,,,[],0,,,[],
548084,The Perfect Murder,1992,2,vampire,0.439,"[{""label"": ""vampire"", ""score"": 0.439, ""box"": [0.277, 0.5363, 0.3754, 0.3033]}, {""label"": ""ghost"", ""score"": 0.253, ""box"": [0.1593, 0.0258, 0.6779, 0.8186]}]",0,,,[],
630737,2099: The Soldier Protocol,2019,3,alien,0.316,"[{""label"": ""alien"", ""score"": 0.316, ""box"": [0.6187, 0.0773, 0.3784, 0.5377]}, {""label"": ""alien"", ""score"": 0.282, ""box"": [0.0055, 0.0631, 0.9671, 0.5955]}, {""label"": ""masked_killer"", ""score"": 0.27, ""box"": [0.6739, 0.0755, 0.2815, 0.2268]}]",0,,,[],
633786,Faulty Father,2019,0,,,[],0,,,[],
651517,Riverdead,2007,0,,,[],1,axe,0.217,"[{""label"": ""axe"", ""score"": 0.217, ""box"": [0.2683, 0.4986, 0.137, 0.0595]}]",
668985,Who Killed Eve?,1934,3,vampire,0.288,"[{""label"": ""vampire"", ""score"": 0.288, ""box"": [0.0074, 0.4503, 0.6096, 0.5369]}, {""label"": ""zombie"", ""score"": 0.225, ""box"": [0.08, 0.7021, 0.9147, 0.2975]}, {""label"": ""vampire"", ""score"": 0.223, ""box"": [0.6611, 0.1483, 0.2218, 0.2227]}]",1,machete,0.2,"[{""label"": ""machete"", ""score"": 0.2, ""box"": [0.0074, 0.3017, 0.8401, 0.5026]}]",
747083,Noite de Lamentações (Night of Wails),2020,0,,,[],0,,,[],
752825,The Demon,1970,0,,,[],0,,,[],
752851,Case of a Young Lord 7: Red Crane House,1958,1,vampire,0.248,"[{""label"": ""vampire"", ""score"": 0.248, ""box"": [0.2677, 0.1298, 0.6351, 0.863]}]",2,sword,0.527,"[{""label"": ""sword"", ""score"": 0.527, ""box"": [0.2706, 0.0148, 0.691, 0.31]}, {""label"": ""hammer"", ""score"": 0.202, ""box"": [0.6417, 0.12, 0.3144, 0.2113]}]",
